,fund_symbol,quote_type,region,fund_short_name,fund_long_name,currency,fund_category,fund_family,exchange_code,exchange_name,exchange_timezone,avg_vol_3month,avg_vol_10day,total_net_assets,day50_moving_average,day200_moving_average,week52_high_low_change,week52_high_low_change_perc,week52_high,week52_high_change,week52_high_change_perc,week52_low,week52_low_change,week52_low_change_perc,fund_yield,inception_date,annual_holdings_turnover,investment_type,size_type,fund_annual_report_net_expense_ratio,category_annual_report_net_expense_ratio,asset_stocks,asset_bonds,fund_sector_basic_materials,fund_sector_communication_services,fund_sector_consumer_cyclical,fund_sector_consumer_defensive,fund_sector_energy,fund_sector_financial_services,fund_sector_healthcare,fund_sector_industrials,fund_sector_real_estate,fund_sector_technology,fund_sector_utilities,fund_price_book_ratio,fund_price_cashflow_ratio,fund_price_earning_ratio,fund_price_sales_ratio,top10_holdings,top10_holdings_total_assets,returns_as_of_date,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,category_return_5years,years_up,years_down,fund_return_2020,fund_return_2019,fund_return_2018,fund_return_2017,category_return_2015,category_return_2014,category_return_2013,category_return_2012,category_return_2011,category_return_2010,category_return_2009,category_return_2008,category_return_2007,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,fund_r_squared_3years,fund_stdev_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years
1032,IUSB,ETF,US,Artisan Developing World Fund -,Artisan Developing World Fund Institutional Shares,USD,,Artisan,NGM,NasdaqGM,America/New_York,1130554,1278520.0,14493035520.0,53.072,53.269,2.11,0.03865,54.59,-1.33,-0.02436,52.48,0.78,0.01486,0.021,2014-06-10,1.8,,,0.0006,0.0046,0.9979,0.0,0.027450000000000002,0.0576,0.1105,0.0543,0.0218,0.1311,0.0941,0.0896,0.02445,0.13425,0.0197,2.92,13.24,22.04,1.9649999999999999,"V (""Visa Inc Class A""): 0.0627, SE. SI (""Sea Ltd ADR""): 0.0575, MELI. SA (""MercadoLibre Inc""): 0.0516, BILI (""Bilibili Inc ADR""): 0.0496, NVDA (""NVIDIA Corp""): 0.0469, ABNB (""Airbnb Inc Ordinary Shares - Class A""): 0.0468, 03690 (""Meituan""): 0.0456, 02269 (""WuXi Biologics (Cayman) Inc Registered Shs Unitary 144A/Reg S""): 0.0432, ADYEN (""Adyen NV""): 0.0431, 00700 (""Tencent Holdings Ltd""): 0.043",0.1871,2021-06-30,-0.0125,0.075,0.0083,-0.001,0.0183,0.032,0.0075,0.0905,0.056,0.0496,0.0926,5.0,1.0,0.07593,0.09262,-0.00379,0.04056,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,0.38,0.97,0.46,90.4,3.53,1.24,4.53
1033,IUSS,ETF,US,Yorktown Short Term Bond Fund I,Yorktown Short Term Bond Fund Class Institutional,USD,Small Blend,Yorktown Funds,NGM,NasdaqGM,America/New_York,5870,8750.0,44719192.0,39.305,38.174,13.04,0.31505,41.39,-3.89,-0.09398,28.35,9.15,0.32275,0.0061,2018-09-12,0.28,Blend,Small,0.0023,0.004,1.0,0.0,0.0509,0.0438,0.1637,0.0558,0.0572,0.0625,0.1094,0.2175,0.0542,0.1552,0.0299,2.7,10.26,20.25,1.31,"""UniCredit S.p. A. 3.75%"": 0.0077, ""Cantor Fitzgerald & Co. 4.88%"": 0.0074, ""AutoNation, Inc. 3.5%"": 0.0072, ""BGC Partners, Inc. 3.75%"": 0.0071, ""Intesa Sanpaolo S.p. A. 3.25%"": 0.0071, ""Intesa Sanpaolo S.p. A. 3.38%"": 0.007, ""Credit Suisse Group AG 1.36%"": 0.0068, ""Citadel Limited Partnership 5.38%"": 0.0066, ""CNO Financial Group, Inc. 5.25%"": 0.0065, ""WESTLAKE AUTOMOBILE RECEIVABLES TRUST 4%"": 0.0065",0.0269,2021-06-30,0.3326,0.0665,0.0048,-0.0412,0.0678,-0.0226,0.8756,0.0371,0.0864,0.0458,0.1214,2.0,0.0,0.19156,0.2519,-0.07582,0.15879,-0.05447,0.05858,0.41802,0.16905,-0.0393,0.32925,0.32673,-0.40663,-0.04847,-0.715,1.02,0.88,78.01,19.66,0.56,8.4
1034,IUSV,ETF,US,Yorktown Master Allocation Fund,Yorktown Master Allocation Fund Class A,USD,Large Value,Yorktown Funds,NGM,NasdaqGM,America/New_York,494401,698050.0,10406422528.0,73.692,72.012,15.67,0.2064,75.92,-3.36999,-0.04439,60.25,12.3,0.20415,0.0194,2000-07-24,0.25,Value,Large,0.0004,0.0034,0.997,0.0,0.0321,0.0616,0.0816,0.0881,0.0578,0.2231,0.1412,0.1251,0.0483,0.0941,0.0469,2.62,12.83,19.92,1.95,"AFAAX (""Yorktown Capital Appreciation Instl""): 0.3738, APGRX (""Yorktown Growth Institutional""): 0.3418, YOVIX (""Yorktown Small-Cap Institutional""): 0.2745",0.1658,2021-06-30,0.1672,0.109,-0.0138,-0.001,0.0482,0.0326,0.4092,0.1704,0.1301,0.1053,0.1536,13.0,7.0,0.01554,0.31481,-0.09084,0.15074,-0.0189,0.1253,0.30048,0.14025,0.04626,0.16532,0.25157,-0.35846,0.01809,-5.27,1.04,1.19,91.35,20.12,0.65,11.38
1035,IVAL,ETF,US,Yorktown Capital Income Fund Cl,Yorktown Capital Appreciation Fund Class A,USD,Foreign Large Value,Yorktown Funds,BTS,BATS,America/New_York,30650,73760.0,146975296.0,27.002,28.48,5.2,0.17111,30.39,-4.655,-0.15318,25.19,0.545,0.02164,0.0138,2014-12-16,0.3856,Value,Large,0.0059,0.0046,0.9975,0.0,0.1584,0.0958,0.2818,0.0581,0.0,0.0,0.0207,0.1791,0.0408,0.1653,0.0,1.43,5.8,10.92,0.85,"EOG (""EOG Resources Inc""): 0.0159, NVDA (""NVIDIA Corp""): 0.0149, AXP (""American Express Co""): 0.0135, TGT (""Target Corp""): 0.0129, NDAQ (""Nasdaq Inc""): 0.0128, INTU (""Intuit Inc""): 0.0126, TROW (""T. Rowe Price Group Inc""): 0.0124, UPS (""United Parcel Service Inc Class B""): 0.0124, BX (""Blackstone Group Inc""): 0.0122, SCHW (""Charles Schwab Corp""): 0.0119",0.2137,2021-06-30,0.0643,0.0535,-0.0258,0.0107,0.0102,0.0653,0.2174,0.082,0.0026,-0.0098,0.053,3.0,3.0,-0.05241,0.20585,-0.21623,0.30336,-0.08045,-0.05379,0.17701,0.12607,-0.0966,0.0666,0.42878,-0.44817,0.20511,-9.45,1.16,0.21,86.61,21.93,0.06,-0.93
1036,IVDG,ETF,US,Yorktown Multi-Asset Income Fun,Yorktown Multi-Sector Bond Fund Class Institutional,USD,,Yorktown Funds,BTS,BATS,America/New_York,1759,800.0,1338400.0,13.791,12.92,4.01,0.26751,14.99,-1.6044,-0.10703,10.98,2.4056,0.21909,0.0156,2020-12-18,0.3856,Growth,Medium,0.0059,0.0046,0.9951,0.0,0.0405,0.0212,0.1731,0.0095,0.0,0.1284,0.1325,0.2435,0.0,0.2512,0.0,7.14,24.58,37.29,3.97,"""The Hartford Financial Services Group, Inc. 2.28%"": 0.0127, ""Enstar Group Ltd 4.95%"": 0.0124, ""Everest Reinsurance Holdings, Inc. 2.54%"": 0.0121, ""Banco Bilbao Vizcaya Argentaria, S. A. 6.5%"": 0.0115, ""Kinross Gold Corporation 6.88%"": 0.0113, ""JPMorgan Chase & Co. 3.52%"": 0.0108, ""PPL Capital Funding Inc. 2.81%"": 0.0106, ""Lincoln National Corporation 2.23%"": 0.0103, ""Ohio National Financial Services 5.55%"": 0.0098, ""Intesa Sanpaolo S.p. A. 5.71%"": 0.0097",0.3051,2021-05-31,0.0173,0.075,-0.03,-0.001,-0.0213,0.032,0.353,0.0905,0.0864,0.0496,0.0926,4.0,2.0,0.07471,0.20515,-0.07582,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,-0.715,1.02,0.88,78.01,19.66,0.56,8.4
1037,IVES,ETF,US,Yorktown Master Allocation Fund,Yorktown Master Allocation Fund Class L,USD,,Yorktown Funds,PCX,NYSEArca,America/New_York,2514,4870.0,57088456.0,53.168,51.19,16.57,0.27617,60.0,-12.8278,-0.2138,43.43,3.7422,0.08617,0.0024,2016-03-08,1.04,Growth,Medium,0.0068,0.0046,0.9546,0.0397,0.0,0.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0467,0.913,0.0,5.41,24.63,22.04,5.0,"AFAAX (""Yorktown Capital Appreciation Instl""): 0.3738, APGRX (""Yorktown Growth Institutional""): 0.3418, YOVIX (""Yorktown Small-Cap Institutional""): 0.2745",0.3889,2021-06-30,-0.0034,0.075,0.0865,-0.001,0.0803,0.032,0.2959,0.0905,0.1418,0.0496,0.0926,3.0,1.0,0.41289,0.27145,-0.17946,0.35568,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,-2.25,1.3,1.43,70.9,27.7,0.58,10.07
1038,IVLC,ETF,US,Yorktown Short Term Bond Fund C,Yorktown Short Term Bond Fund Class A,USD,,Yorktown Funds,BTS,BATS,America/New_York,2014,1880.0,6583365.0,14.62,13.807,3.43,0.22507,15.24,-0.6013,-0.03946,11.81,2.8287,0.23952,0.0156,2020-12-18,0.3856,Blend,Large,0.0048,0.0046,0.9966,0.0,0.0131,0.1087,0.107,0.0824,0.0163,0.1411,0.1332,0.1019,0.0322,0.2457,0.0184,6.17,17.97,26.98,3.43,"""UniCredit S.p. A. 3.75%"": 0.0077, ""Cantor Fitzgerald & Co. 4.88%"": 0.0074, ""AutoNation, Inc. 3.5%"": 0.0072, ""BGC Partners, Inc. 3.75%"": 0.0071, ""Intesa Sanpaolo S.p. A. 3.25%"": 0.0071, ""Intesa Sanpaolo S.p. A. 3.38%"": 0.007, ""Credit Suisse Group AG 1.36%"": 0.0068, ""Citadel Limited Partnership 5.38%"": 0.0066, ""CNO Financial Group, Inc. 5.25%"": 0.0065, ""WESTLAKE AUTOMOBILE RECEIVABLES TRUST 4%"": 0.0065",0.3912,2021-05-31,0.1151,0.075,0.0025,-0.001,0.1041,0.032,0.353,0.0905,0.0864,0.0496,0.0926,4.0,2.0,0.07471,0.20515,-0.07582,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,-0.715,1.02,0.88,78.01,19.66,0.56,8.4
1039,IVOG,ETF,US,AMG Managers Pictet Internation,AMG Beutel Goodman International Equity Fund - Class N,USD,Mid-Cap Growth,AMG Funds,PCX,NYSEArca,America/New_York,6582,8900.0,1091176448.0,207.984,200.91,46.93,0.21399,219.31,-17.508,-0.07983,172.38,29.422,0.17068,0.0066,2010-09-07,0.49,Growth,Medium,0.0015,0.0046,1.0,0.0,0.0386,0.022,0.1524,0.0408,0.0194,0.0843,0.1824,0.1936,0.0527,0.2078,0.0061,4.42,17.06,28.22,2.89,"CARL B (""Carlsberg A/S B""): 0.0476, ALD. AX (""Ampol Ltd""): 0.0468, SMIN. L (""Smiths Group PLC""): 0.0439, KPN (""Koninklijke KPN NV""): 0.0433, GSK. L (""GlaxoSmithKline PLC""): 0.0428, KCR (""Konecranes Oyj""): 0.0425, ATEA (""Atea ASA""): 0.0423, IMI. L (""IMI PLC""): 0.0421, DOKA (""dorma+kaba Holding AG""): 0.0395, 4507 (""Shionogi & Co Ltd""): 0.039",0.1232,2021-06-30,0.1226,0.0546,0.0109,-0.0015,0.0325,0.0419,0.4525,0.0854,0.1404,0.0782,0.1429,8.0,2.0,0.22511,0.26125,-0.10498,0.19724,0.00164,0.06672,0.34093,0.14401,-0.0192,0.26157,0.39665,-0.44885,0.11758,-5.4,1.12,1.3,90.92,21.65,0.66,11.5
1040,IVOL,ETF,US,American Century Short Duration,American Century Short Duration Inflation Protection Bond Fund R5 Class,USD,,American Century Investments,PCX,NYSEArca,America/New_York,1363432,1986090.0,3240003584.0,27.582,28.1,2.07,0.0715,28.95,-1.85,-0.0639,26.88,0.22,0.00818,0.0351,2019-05-13,0.3856,Growth,Large,0.0099,0.0046,0.9979,0.0,0.027450000000000002,0.0576,0.1105,0.0543,0.0218,0.1311,0.0941,0.0896,0.02445,0.13425,0.0197,2.92,13.24,22.04,1.9649999999999999,"""United States Treasury Notes 0.25%"": 0.1863, ""United States Treasury Notes 0.62%"": 0.0629, ""United States Treasury Notes 0.5%"": 0.051, ""United States Treasury Notes 0.12%"": 0.0456, ""Canada (Government of) 4.25%"": 0.0365",0.8547,2021-05-31,0.0387,0.075,0.0048,-0.001,0.0105,0.032,0.1095,0.0905,0.0864,0.0496,0.0926,1.0,0.0,0.14747,0.20515,-0.07582,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,-0.715,1.02,0.88,78.01,19.66,0.56,8.4
1041,IVOO,ETF,US,Yorktown Growth Fund Class L,Yorktown Growth Fund Class L,USD,Mid-Cap Blend,Yorktown Funds,PCX,NYSEArca,America/New_York,20193,22280.0,2838392064.0,188.022,182.65,47.4,0.23968,197.76,-15.15999,-0.07666,150.36,32.24,0.21442,0.0107,2010-09-07,0.17,Blend,Medium,0.001,0.0047,0.9998,0.0,0.0527,0.0163,0.1489,0.042,0.0252,0.152,0.1117,0.1788,0.0966,0.1474,0.0284,2.74,12.57,21.91,1.74,"LOGN (""Logitech International SA""): 0.0113, GTN (""Gray Television Inc""): 0.0099, TYL (""Tyler Technologies Inc""): 0.0093, 02331 (""Li Ning Co Ltd""): 0.009, CRL (""Charles River Laboratories International Inc""): 0.0083, ENTG (""Entegris Inc""): 0.0083, EPAM (""EPAM Systems Inc""): 0.0083, TRMB (""Trimble Inc""): 0.0082, CACC (""Credit Acceptance Corp""): 0.008, VIAC (""ViacomCBS Inc Class B""): 0.0079",0.0609,2021-06-30,0.1751,0.0901,-0.0109,0.0012,0.034,0.0465,0.5327,0.1218,0.1303,0.0834,0.1592,7.0,3.0,0.13537,0.26108,-0.11197,0.16103,-0.04242,0.09844,0.37193,0.16749,-0.01711,0.29495,0.41986,-0.3965,0.05944,-7.57,1.22,1.27,89.91,23.76,0.59,9.73
1042,IVOV,ETF,US,Yorktown Multi-Asset Income Fun,Yorktown Multi-Sector Bond Fund Class A,USD,Mid-Cap Value,Yorktown Funds,PCX,NYSEArca,America/New_York,14515,16550.0,983786496.0,167.638,162.495,47.6,0.26998,176.31,-13.159,-0.07464,128.71,34.44099,0.26759,0.0197,2010-09-07,0.51,Value,Small,0.0015,0.0043,0.9999,0.0,0.0655,0.0113,0.143,0.0432,0.0304,0.2125,0.0495,0.1663,0.1358,0.0943,0.0481,2.06,9.94,18.15,1.29,"""The Hartford Financial Services Group, Inc. 2.28%"": 0.0127, ""Enstar Group Ltd 4.95%"": 0.0124, ""Everest Reinsurance Holdings, Inc. 2.54%"": 0.0121, ""Banco Bilbao Vizcaya Argentaria, S. A. 6.5%"": 0.0115, ""Kinross Gold Corporation 6.88%"": 0.0113, ""JPMorgan Chase & Co. 3.52%"": 0.0108, ""PPL Capital Funding Inc. 2.81%"": 0.0106, ""Lincoln National Corporation 2.23%"": 0.0103, ""Ohio National Financial Services 5.55%"": 0.0098, ""Intesa Sanpaolo S.p. A. 5.71%"": 0.0097",0.08,2021-06-30,0.2291,0.1278,-0.0278,0.0005,0.0356,0.0411,0.6124,0.1553,0.1139,0.1034,0.1724,7.0,3.0,0.03628,0.25908,-0.11991,0.12126,-0.05772,0.13198,0.3659,0.16574,0.00838,0.23436,0.41481,-0.39308,-0.06914,-10.27,1.33,1.21,84.86,26.74,0.5,7.65
1043,IVRA,ETF,US,,Cavanal Hill Hedged Income Fund Investor,USD,,Cavanal Hill funds,BTS,BATS,America/New_York,1709,4370.0,1418897.0,14.802,14.106,4.175,0.26458,15.78,-1.1774,-0.07461,11.605,2.9976,0.2583,0.0156,2020-12-18,0.3856,Blend,Medium,0.0059,0.0046,0.9962,0.0,0.1717,0.0,0.0153,0.0346,0.1824,0.0,0.0,0.0029,0.5334,0.0,0.0598,2.36,14.17,28.48,3.19,"APSXX (""Cavanal Hill Government Secs MMkt Sel""): 0.077, DUK (""Duke Energy Corp""): 0.0522, PKG (""Packaging Corp of America""): 0.0522, AVGO (""Broadcom Inc""): 0.0502, GLW (""Corning Inc""): 0.0495, GRMN (""Garmin Ltd""): 0.0491, PSX (""Phillips 66""): 0.0435, T (""AT&T Inc""): 0.0403, VZ (""Verizon Communications Inc""): 0.0396, MMM (""3M Co""): 0.0393",0.3444,2021-05-31,0.2303,0.075,0.0293,-0.001,0.1586,0.032,0.353,0.0905,0.0864,0.0496,0.0926,4.0,2.0,0.07471,0.20515,-0.07582,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,-0.715,1.02,0.88,78.01,19.66,0.56,8.4
1044,IVSG,ETF,US,Yorktown Master Allocation Fund,Yorktown Master Allocation Fund Class Institutional,USD,,Yorktown Funds,BTS,BATS,America/New_York,698,800.0,1307549.0,14.095,13.397,3.28,0.21852,15.01,-1.5443,-0.10288,11.73,1.7357,0.14797,0.0156,2020-12-18,0.3856,Growth,Large,0.0048,0.0046,0.9946,0.0,0.0,0.1607,0.1953,0.0216,0.0137,0.112,0.1017,0.0265,0.0,0.3685,0.0,9.85,22.21,30.73,3.85,"AFAAX (""Yorktown Capital Appreciation Instl""): 0.3738, APGRX (""Yorktown Growth Institutional""): 0.3418, YOVIX (""Yorktown Small-Cap Institutional""): 0.2745",0.6104,2021-05-31,0.0795,0.075,-0.0088,-0.001,0.0475,0.032,0.353,0.0905,0.0864,0.0496,0.0926,4.0,2.0,0.07471,0.20515,-0.07582,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,-0.715,1.02,0.88,78.01,19.66,0.56,8.4
1045,IVV,ETF,US,American Century Short Duration,American Century Short Duration Inflation Protection Bond Fund A Class,USD,Large Blend,American Century Investments,PCX,NYSEArca,America/New_York,4541595,7120830.0,286994399232.0,455.111,431.336,112.12,0.23579,475.5,-20.35999,-0.04282,363.38,91.76001,0.25252,0.0131,2000-05-15,0.05,Blend,Large,0.0003,0.0036,0.9977,0.0,0.0227,0.1114,0.1201,0.0631,0.0286,0.1421,0.1309,0.0885,0.0258,0.2423,0.0246,4.42,17.56,26.46,2.96,"""United States Treasury Notes 0.25%"": 0.1863, ""United States Treasury Notes 0.62%"": 0.0629, ""United States Treasury Notes 0.5%"": 0.051, ""United States Treasury Notes 0.12%"": 0.0456, ""Canada (Government of) 4.25%"": 0.0365",0.2737,2021-06-30,0.1524,0.075,0.0226,-0.0025,0.0838,0.032,0.4096,0.1345,0.1862,0.1014,0.1576,16.0,4.0,0.18373,0.31443,-0.04422,0.21792,-0.00632,0.11786,0.31437,0.14212,0.01683,0.17791,0.32264,-0.38047,0.04402,-0.03,1.0,1.57,100.0,18.52,0.95,17.41
1046,IWDL,ETF,US,American Century Short Duration,American Century Short Duration Inflation Protection Bond Fund C Class,USD,Trading--Leveraged Equity,American Century Investments,PCX,NYSEArca,America/New_York,811,250.0,31597100.0,33.445,31.629,9.383,0.26664,35.19,-2.9274,-0.08319,25.807,6.4556,0.25015,0.0156,2021-02-04,0.3856,,,0.0095,0.009,0.9979,0.0,0.027450000000000002,0.0576,0.1105,0.0543,0.0218,0.1311,0.0941,0.0896,0.02445,0.13425,0.0197,2.92,13.24,22.04,1.9649999999999999,"""United States Treasury Notes 0.25%"": 0.1863, ""United States Treasury Notes 0.62%"": 0.0629, ""United States Treasury Notes 0.5%"": 0.051, ""United States Treasury Notes 0.12%"": 0.0456, ""Canada (Government of) 4.25%"": 0.0365",0.3023,2021-06-30,0.0981,0.075,-0.0242,-0.001,0.0924,0.032,0.353,0.0905,0.0864,0.0496,0.0926,4.0,2.0,0.07471,0.20515,-0.07582,0.15879,-0.00632,0.11701,0.63862,0.30498,-0.18231,0.34116,0.6239,-0.68494,0.11247,-0.715,1.02,0.88,78.01,19.66,0.56,8.4
1047,IWFL,ETF,US,American Century Short Duration,American Century Short Duration Inflation Protection Bond Fund R6 Class,USD,Trading--Leveraged Equity,American Century Investments,PCX,NYSEArca,America/New_York,500,350.0,29254100.0,33.666,29.257,16.9,0.4465,37.85,-4.2692,-0.11279,20.95,12.6308,0.6029,0.0156,2021-02-04,0.3856,,,0.0095,0.009,0.9979,0.0,0.027450000000000002,0.0576,0.1105,0.0543,0.0218,0.1311,0.0941,0.0896,0.02445,0.13425,0.0197,2.92,13.24,22.04,1.9649999999999999,"""United States Treasury Notes 0.25%"": 0.1863, ""United States Treasury Notes 0.62%"": 0.0629, ""United States Treasury Notes 0.5%"": 0.051, ""United States Treasury Notes 0.12%"": 0.0456, ""Canada (Government of) 4.25%"": 0.0365",0.3023,2021-06-30,0.0981,0.075,0.1244,-0.001,0.2423,0.032,0.353,0.0905,0.0864,0.0496,0.0926,4.0,2.0,0.07471,0.20515,-0.07582,0.15879,-0.00632,0.11701,0.63862,0.30498,-0.18231,0.34116,0.6239,-0.68494,0.11247,-0.715,1.02,0.88,78.01,19.66,0.56,8.4
1048,IWML,ETF,US,Short Duration Inflation Protec,American Century Short Duration Inflation Protection Bond Fund G CLASS,USD,Trading--Leveraged Equity,American Century Investments,PCX,NYSEArca,America/New_York,1082,1550.0,27485800.0,27.149,26.291,12.22,0.35277,34.64,-10.6921,-0.30866,22.42,1.5279,0.06815,0.0156,2021-02-04,0.3856,,,0.0095,0.009,0.9979,0.0,0.027450000000000002,0.0576,0.1105,0.0543,0.0218,0.1311,0.0941,0.0896,0.02445,0.13425,0.0197,2.92,13.24,22.04,1.9649999999999999,"""United States Treasury Notes 0.25%"": 0.1863, ""United States Treasury Notes 0.62%"": 0.0629, ""United States Treasury Notes 0.5%"": 0.051, ""United States Treasury Notes 0.12%"": 0.0456, ""Canada (Government of) 4.25%"": 0.0365",0.3023,2021-06-30,0.0981,0.075,0.0375,-0.001,0.0752,0.032,0.353,0.0905,0.0864,0.0496,0.0926,4.0,2.0,0.07471,0.20515,-0.07582,0.15879,-0.00632,0.11701,0.63862,0.30498,-0.18231,0.34116,0.6239,-0.68494,0.11247,-0.715,1.02,0.88,78.01,19.66,0.56,8.4
1049,IXSE,ETF,US,American Century Short Duration,American Century Short Duration Inflation Protection Bond Fund I Class,USD,India Equity,American Century Investments,PCX,NYSEArca,America/New_York,1409,1280.0,4894176.0,36.526,33.488,10.13,0.26927,37.62,-2.4016,-0.06384,27.49,7.7284,0.28113,0.0017,2019-04-04,0.36,Growth,Large,0.0058,0.0084,0.9999,0.0001,0.1376,0.0391,0.1145,0.1029,0.0746,0.2744,0.0828,0.0199,0.0084,0.1394,0.0065,4.12,15.92,31.57,3.28,"""United States Treasury Notes 0.25%"": 0.1863, ""United States Treasury Notes 0.62%"": 0.0629, ""United States Treasury Notes 0.5%"": 0.051, ""United States Treasury Notes 0.12%"": 0.0456, ""Canada (Government of) 4.25%"": 0.0365",0.4644,2021-06-30,0.123,0.094,0.0062,0.0163,0.0722,0.0335,0.5367,0.0902,0.0864,0.1272,0.03,1.0,0.0,0.15309,0.20515,-0.07582,0.15879,-0.05753,0.34307,-0.11538,0.28487,-0.42854,0.19555,0.96477,-0.65619,0.7204,-0.715,1.02,0.88,78.01,19.66,0.56,8.4
1050,IXUS,ETF,US,American Century Short Duration,American Century Short Duration Inflation Protection Bond Fund Investor Class,USD,Foreign Large Blend,American Century Investments,NGM,NasdaqGM,America/New_York,1964759,2801700.0,29536268288.0,72.469,72.548,10.49,0.13889,75.53,-5.65,-0.0748,65.04,4.84,0.07442,0.0213,2012-10-18,0.07,Blend,Large,0.0009,0.0037,0.9979,0.0,0.085,0.0709,0.1257,0.0819,0.0439,0.1734,0.0929,0.1278,0.0366,0.1324,0.0295,1.88,10.62,18.69,1.47,"""United States Treasury Notes 0.25%"": 0.1863, ""United States Treasury Notes 0.62%"": 0.0629, ""United States Treasury Notes 0.5%"": 0.051, ""United States Treasury Notes 0.12%"": 0.0456, ""Canada (Government of) 4.25%"": 0.0365",0.1008,2021-06-30,0.1034,0.0411,-0.0037,0.0128,0.0549,0.0562,0.3745,0.0819,0.096,0.0078,0.0715,5.0,3.0,0.11141,0.21849,-0.14554,0.2808,-0.02563,-0.03501,0.1848,0.16793,-0.13909,0.10547,0.38882,-0.44749,0.29141,0.06,1.02,0.9,99.86,17.96,0.53,8.18
1051,IZRL,ETF,US,Cavanal Hill Opportunistic Fd I,Cavanal Hill Opportunistic Fund Investor,USD,Technology,Cavanal Hill funds,BTS,BATS,America/New_York,54427,67400.0,318960960.0,30.18,30.909,11.352,0.2928,38.77,-11.18,-0.28837,27.418,0.1721,0.00628,0.0156,2017-12-04,0.3856,Growth,Small,0.0049,0.0053,0.996,0.0,0.0,0.1,0.0366,0.0,0.0,0.0,0.2852,0.0848,0.0,0.4934,0.0,3.27,13.37,29.89,1.38,"APSXX (""Cavanal Hill Government Secs MMkt Sel""): 0.0462, ""Marvell Technology Group Ltd 4.2%"": 0.0341, SQQQ (""ProShares UltraPro Short QQQ""): 0.0311, JPM (""JPMorgan Chase & Co""): 0.0277, NCLH (""Norwegian Cruise Line Holdings Ltd""): 0.0258, ""Royal Caribbean Group 7.5%"": 0.0255, BA (""Boeing Co""): 0.0246, ""HollyFrontier Corporation 5.88%"": 0.0245, ""Westinghouse Air Brake Technologies Corporation 4.95%"": 0.0234, RIO. L (""Rio Tinto PLC ADR""): 0.0231",0.2093,2021-06-30,0.0799,0.1118,0.0282,-0.0288,0.0191,0.031,0.3402,0.1077,0.1824,0.1317,0.1436,2.0,1.0,0.32407,0.21977,-0.05007,0.15879,0.04499,0.1422,0.34512,0.10581,-0.09188,0.19088,0.76085,-0.4716,0.08189,2.19,1.2,1.69,69.76,25.94,0.74,14.36
1052,JAAA,ETF,US,American Century Short Duration,American Century Short Duration Inflation Protection Bond Fund R Class,USD,,American Century Investments,PCX,NYSEArca,America/New_York,48656,33660.0,121071344.0,50.485,50.479,2.66,0.05034,52.84,-2.41,-0.04561,50.18,0.25,0.00498,0.0156,2020-10-16,0.3856,,,0.0025,0.0046,0.0,1.0,0.027450000000000002,0.0576,0.1105,0.0543,0.0218,0.1311,0.0941,0.0896,0.02445,0.13425,0.0197,2.92,13.24,22.04,1.9649999999999999,"""United States Treasury Notes 0.25%"": 0.1863, ""United States Treasury Notes 0.62%"": 0.0629, ""United States Treasury Notes 0.5%"": 0.051, ""United States Treasury Notes 0.12%"": 0.0456, ""Canada (Government of) 4.25%"": 0.0365",0.4075,2021-05-31,0.0074,0.075,0.0007,-0.001,0.0012,0.032,0.353,0.0905,0.0864,0.0496,0.0926,4.0,2.0,0.07471,0.20515,-0.07582,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,-0.715,1.02,0.88,78.01,19.66,0.56,8.4
